type,text
negatif,Untuk sararapan makanan kurang enak dan banyak yang sudah habis tetapi tidak langsung di tambahi lagi.
positif,"Pelayanan ramah, dan makanan banyak pilihan, cuma kondisi kasur sudah turun."
negatif,"Baguss banget ni hotel, kamar nya bersih, tidak bau lembab, saya ada request view pool, dan sesuai kamar yang diberikan. Staff nya semua baik dan ramah, makanan nya enak semua. Cuma sempet waiting list lama saat hari kedua karena ramai banyak orang. Recommend hotel kalau stay di semoga, saya akan stay di sini lagi kalau ke semoga."
negatif,Lobby hotelnya mewah. Pegawai nya ramah dan sangat membantu. Sayang fasilitas hotelnya kurang terawat dengan baik. Toilet di lobby tampak tidak terawat baik. Karpet di lorong hotel sangat kotor. Hand sanitizer depan lift kosong tidak terisi. Kamarnya cukup luas dengan penerangan yang sangat baik. Enak untuk dipakai kerja sebentar di meja kerjanya. Yang buruknya kasur dan bantalnya melempes dan tidak dapat menopang badan dan kepala dengan baik. Sungguh tidak enak dipakai untuk istirahat. Menurut saya ini cukup fatal karena kita menginap untuk istirahat tp badan malah pegal-pegal. Keran atas (shower) tidak berfungsi dan ternyata sebelumnya sudah direview pengunjung sebelumnya tp kok belum ditindaklanjuti.
positif,Semua fasilitas ok. Akan menginap kembali. Breakfast untuk western mungkin bisa ditambahkan.
positif,"Hotel yang sangat recommended. Lokasi strategis, lobby luas dan mewah, pelayanan ramah, kamar luas dan bersih, sarapan iuga enak sekali dan lumayan banyak pilihan makanannya. Jika berkesempatan, tentu ingin sekali menginap kembali di sini."
positif,"So far sich semua nya bagus, mulai dari check in harus pakai aplikasi peduli lindungi, kamar bersih wifi juga ok. Hanya ada satu yang kurang, breakfast nya agak kurang variasi makanan nya. Semoga lebih diperhatikan lagi variasi makanan nya."
positif,"Walau nginap cuman satu malam, sudah cukup bikin impresif dengan vibes hotelnya."
positif,"Menginap 3 hari 2 malam bersama anak-anak. Untuk kamar deluxe sudah ada bathtub, ukuran kamar juga luas. Kamar bersih, pelayanan ramah. Protokol covid di kolam renang dijalankan dengan baik. Playground anak ada tapi sangat kecil. Breakfast menu cukup ok."
positif,Ok. Semua bagus. Pelayanan ok.
positif,Proses check in & check out cepat. Staff hotel ramah. Pelayanan baik. Kebersihan baik. Pilihan makanan banyak & enak.
positif,"Tempat nya nyaman, makanan nya ga ada yang ga enak. Nilai 9 lah."
positif,"Hotel sangat bagus, kamar luas dan bersih."
positif,"Sangat menyenangkan, Kebersihan dan Pelayanan sangat memuaskan. Hotel di tengah kota, parkir luas."
positif,Kamar dan pelayanan sangat memuaskan.
positif,Fasilitas lengkap. Ada bathub nya. Di kasih kamar connecting door. Pelayanan bagus
positif,"Kamar bersih, prokes bagus, makanan standar. Nyaman."
positif,Hotel yang nyaman dan bersih. Letaknya pas di tengah kota Semarang. Alat kebugaran yang sangat lengkap. Dan menu sarapan yang bervariatif dan rasanya enak.
positif,"Untuk ke 2 kalinya menginap di Hotel Gumaya, karena kamarnya luas makanannya enak bersih, hanya waktu chehck in kemaren agak kaget harus pakai surat antigen atau pcr agak ribet sih coba di info dari awal kan enak. Trimakasih."
positif,"Menu breakfast nya mantap dan enak semua, kamarnya wangi dan bersih."
positif,"Staff ramah, check in check out mudah, sarapan enak, kamar bersih. Hanya pada saat masuk ada seperti bau rokok di kamar no smoking, tp lama-lama hilang setelah disemprot"
positif,Makanan hotel terenak sejagat Semarang. Tips juga bagi yang nginap pas ulang tahun iseng aja request ke resepsionisnya. Aku waktu itu dianterin ke kamar free cake yang cantik. Puass pokoknya
positif,"Kamar luas, bersih, sarapan pagi banyak pilihan dan enak, karyawan ramah. Untuk saya yang bawa 2 anak kecil sangat nyaman sekali."
positif,"Everything great, pelayanan, makanan, keamanan dalam hal protokol kesehatan."
positif,Breakfast yang variatif. Untuk bisnis dan keluarga sangat menyenangkan. Staff ramah semuanya. Parkir luas. Jajanan sekitar hotel banyak pilihan
positif,"Makanannya super enak, sayang gak bisa late check out lama-lama karena penuh, kita baru check in jam 12 malem karena transit perjalanan darat Bali-Jakarta, pengennya bisa istirahat lebih lama."
positif,"Kamar seperti di foto, bersih termasuk kamar mandinya. Kamar luas. Menyenangkan banget."
positif,Pengalaman menginap yang menyenangkan
positif,"Kamar luas, bersih dan breakfast rasanya enak dengan menu beragam"
positif,Kamar sangat luas dan dan fasilitas kamar cukup lengkap. Hanya untuk lobi tidak ada welcome drink dan tidak luas. Bahkan di hotel bintang 4 pun lobinya lebih bagus
positif,"Sangat nyaman kamarnya, cocok untuk liburan keluarga, breakfast-nya enak, pelayanannya baik."
positif,"Biasa saja standart hotel bintang 5, tidak ada istimewanya atau point lebihnya dibandingkan hotel bintang 5 lainnya dgn range harga 1jt an. Sarapan Standart. Service Standart. Fasilitas Standart."
positif,"Breakfast was super delicioius. They have everything, just ask the waitress. Bahkan jamu tradisional pun will be custom made. Khusus diramu dan disajikan untuk kami. Cappucino yang habis, diusahakan di minta ke restaurant lain (area hotel), free of charge. Two thumbs up !!"
positif,"Kebersihan dan kenyamanan menginap di hotel Gumaya ini akan menjadi daya tarik tersendiri bagi kami sekeluarga untuk menginap kembali di sana. Hanya saja, kami memang merasa suhu di kamar masih terasa dingin walau kami sebenarnya sudah menonaktifkan AC yang ada."
positif,"Kamar bersih, udah biasa menginap disini, pas dapat potongan flash sale jd lumayan murmer Sarapan pagi diantar ke kamar jug cukup banyak, ditambah ada lumpia khas Semarang yg enak, puas."
positif,"luar biasa, penyambutan kepada tamu dari datang sampai keluar hotel"
positif,"Hotel yg bersih, staf yang ramah, sedikit saran untuk bantal kamar ada beberapa menurut saya sudah tidak layak pakai, udah lusuh dan bau , untuk liburan keluarga hotel yg nyaman, kamar yg luas.. sukses selalu untuk gumaya"
positif,"kamarnya bagus dan terlihat luxury. Namun, air untuk mandi di bathub nya tidak bisa panas"
positif,"Hotel nyaman & bersih, sarapan enak, cuma variasi tolong diperbanyak sarapan ya, pelayanan mantap."
positif,Sangat menyenangkan dan nyaman sekali. Semoga bisa nginep sini lagi.
positif,"Pelayanan dan kebersihan kamar bagus sekali, ditambah experience food-nya luar biasa!"
positif,"Hotelnya bersih, termasuk kamar, toilet, restoran. Para petugas mulai satpam sampai roomboy ramah-ramah, makanannya enak, banyak pilihan, recommended, maaf lupa ambil foto."
positif,"Pelayanan ramah, kamar bersih, sarapan enak."
